date,text,media
2024-09-24 14:34:31+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=6024122147733095172, access_hash=1521217112065641193, file_reference=b'\x02F\x11 \xe0\x00\x00\x0f~f\xf6\x80iQe\xcf\x85\x83\xbeT\xc4\x8b\xcc\xe3m\xa7\xf1Y\xe3', date=datetime.datetime(2024, 9, 24, 14, 34, 30, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01(\x1e\x8as\x1c\xaaY\t\xc1\x1c\xaf=iV\xc5\xa4O27\xda\xb8\xfe""8\xa5\x95\n\xf5@\xa4u \xf3Q3\x15r\x9b\xb7/\x07\x07\x9a@ \xb3\x95\x81\xc3\xc6\xd8\xe7\xae)\xa8\x8f\x12\x91\xdc\x9e\xdc\xd4\x84\x88\xc6P\x803\x92:\xe4T\xcd\x00e\x0e\xb9\x00\xf7\x14\x86Rp[\x12;\xf2\xc7\x9azD\xce\xc0\xc7\x9e?QR\xf9\x96\xe6^\x81\x98t\'\xf8\x8dZ\x8d\xc0\x90:\xa6\xe6=\xa9\xa7\xdc\x96\xbb\x146y\x85\x80\xe4\xe7\xa6*\xebK\xe5\xc6\x91\x96\xe0\x0e\xd4K\x0c\xaa\xe6C\x16\xd5c\xd8\x8c\x9a\x81\x9bsc\x18\xc0\xa4\xc6UU\xc0 \x0c\x93\xed\xde\xb4-\xd9`\xd8ep\x18\xf1\xd2\x8a)_Q\x8f\x96w\x98\xb0R<\x90\xdf)QT\xa4\x97~\x1b\x1e\xbd(\xa2\x9fQ\x1f'), PhotoSize(type='m', w=240, h=320, size=24274), PhotoSize(type='x', w=600, h=800, size=94430), PhotoSizeProgressive(type='y', w=960, h=1280, sizes=[16763, 36240, 45320, 67891, 124372])], dc_id=4, has_stickers=True, video_sizes=[]), ttl_seconds=None)"
2024-09-24 14:34:31+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=6024122147733095171, access_hash=-4341921439351821012, file_reference=b'\x02F\x11 \xe0\x00\x00\x0f}f\xf6\x80i\xf8q\x94\xaaaa\x10E\x99\xc2`\xcc\xcc\x1bm>', date=datetime.datetime(2024, 9, 24, 14, 34, 28, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(\x1eI\xc7\xee\xc1V\xcac\xbe~_\xcc\xd4\x02\t\x8e\xd3\x18\x0f\xc7\x18\xff\x00\xeb\xd3\xe6\n\xa9\x90\xa4d\xf4=)\x90\xcb \x90\xc6\xceDx\xce\x07\x14\x82\xe3M\xbd\xc9\xce\xe8\xce{\xf3I\x10h\x15\x8b'\xccOz\xb3\x96\x8b\x9c\xb6\xc2pri\xcf\tnA\xa42\xbc\xf3M1w\xe8\xa0\xfd\xdc\xf4\xa6\x94w!\xe3\x05\x88\x18>\xe2\xa6\t\x0b\x1e{\x8c\xec\x04\xf4\xa9\xe1q\x19b\x88Y[\x1c\x01\xd0\xd3LL\xcf\xc8\x7f\x95H$\x9e\xdd\xebU\xa5\xf2\xa3\x0b\xc63\x9eET6\xa5%3\xbcET\xb7\x02\x87u*\x17\xa9\x14\x98\x14\xd4.\xfd\xd9\xe3\xb0'\x15\xa7\xa7\xb0)\xbd\xbd\xf3\xf4\xf5\xa2\x8a.2F\xbcg\x05\x0c}OPz\n\xa8\xc4)e\xf2\xc1 \xfa\xf1\xf5\xa2\x8a]@""), PhotoSize(type='m', w=240, h=320, size=23869), PhotoSize(type='x', w=600, h=800, size=90600), PhotoSizeProgressive(type='y', w=960, h=1280, sizes=[16483, 35604, 43613, 65097, 117506])], dc_id=4, has_stickers=True, video_sizes=[]), ttl_seconds=None)"
2024-09-24 14:34:31+00:00,"〰️〰️〰️〰️〰️ 
CLASICO
🔸🔸🔸🔸🔸🔸
Price  2200( No gift box)
(Free Delivery)
Inbox @Hiwe5266
ስልክ +251945355266

    🔶 ፋሽን ተራ /Fashion Tera 🔶
          〰️〰️〰️〰️〰️〰️〰️〰️
አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ
ቢሮ ቁጥር 205
〰️〰️〰️〰️〰️","MessageMediaPhoto(spoiler=False, photo=Photo(id=6024122147733095170, access_hash=-6451848889645527186, file_reference=b'\x02F\x11 \xe0\x00\x00\x0f|f\xf6\x80i\x0b{\xa9F\x87|\x9a\x07\xe2\xa3\xdb""\xa5sMC', date=datetime.datetime(2024, 9, 24, 14, 34, 26, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01(#\xab""\xef\x95@\x7f\x97\x1dqV\xd3e\xbc`y\xea\xc4\xf3\x8a\xa7\xe6\tYP\xa8\x19 dU\xb9\xe1Q\xc7LT\xda\xe07\xedXc\xbb\x1bG^)\x93\xbaHF\xc2}\x89\xefLh\xfeWD\xea\xcb\x95\x1f\xd2\x99\xe6f#\x85\xe4\xf4>\x94Xw\x19\xf6c\xfd\xef\xd0\xd1V\xfc\xa9\xcf?(\xa2\x8b\x88\x85m\xc3K\xfb\xb0H\xc6s\x9a\x99&s\x84\x91\x0b?\xa8\x1di\x90\xcc\xbf\xc2\x06O!}*\xd2\xc4\xf3\x1c\x93\xb5?Z\x10\r\x8cbb\xd2.01\xc78\xfc\xaa\xb3\xc4E\xc3I\x82\x13?t\xf1\x9a\xbe\x88b\xba\x11\xff\x00\t\x04\x8fz\xaf{#\x1b\x87P\x0e\xd0z\xd3`4\xb1c\x9fZ*\xd4VN\xf1\xabo\x03""\x8aV\x11\x94\x17\xca\n\xc1~u<\xe4\xf1\x9fJ\xd3W\xcd\xb1,\x06q\x90>\xb4QJ\xe5\xd8\xaa\x92H\x936\x17\x00\x81\x8c\xf3\x8al\xb3n2\xef\x03$\xf4\x1e\xbe\xb4QIj-\x8d\x0bc\xfe\x8e\x9b]\x80\xc7\xad\x14QTI'), PhotoSize(type='m', w=282, h=320, size=31926), PhotoSize(type='x', w=705, h=800, size=125630), PhotoSizeProgressive(type='y', w=1128, h=1280, sizes=[19950, 45801, 61599, 93135, 166615])], dc_id=4, has_stickers=True, video_sizes=[]), ttl_seconds=None)"
2024-09-21 18:56:46+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=6014611702865314241, access_hash=-4071212743220495179, file_reference=b'\x02F\x11 \xe0\x00\x00\x0f{f\xf6\x80iU\xddc4^\x80\r\x8e\x1di\xce\x0f\xc8\xd6\xb0\xa0', date=datetime.datetime(2024, 9, 21, 18, 56, 45, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01\x1e(\x9aa\x14\x96h\x87\x1b\x93\xb7\xa0\xac\xdb\xad\xb1\xe1\x10\x9fz\xbf.\xdd\xc1\xd0d\xe3\x81\x9e\xb5BT\x1b\xcb6\x0e\xfe@\x07\x91@\x15\xf1R\xc1\x10fo1O\x02\xacKj\x84\x06\x1cz\x0e\x99\xfcj6\x86X\xb0\x08!H\xc8=\xa8\xdc\x02-\xd1\xbe\xe8\xc9S\xech\xa1O\x14S\x03jXPG\xb6>\x0fn\xf5\x91w\x1c\x8a\xdb\x99B\xe3\x8e;\xd5\xedBb\xa0F;\xf7\xaa\xac[\xf8\xd8\xb1\x07\x1c\xf2*n\x04\xf6\x8ag\xb7\x8f{\xe0\x8f\xbb\xc7\x1fJ'Cqj\x18\x15\xf9r8>\xa7\xd2\xabm\xda\xa4\xc6\xcc\xa7\xa1\xc1\xc567e\x05\x83\x10y\xc7\xa5\x00[\x97\xe5\xd3\x95^L\x92\x068\xc6@\xedEVK\xd9<\xb6\x8d\x95\x1d[\xb1\x1d(\xa6\x80""), PhotoSize(type='m', w=320, h=240, size=23844), PhotoSize(type='x', w=800, h=600, size=104451), PhotoSizeProgressive(type='y', w=1280, h=960, sizes=[14228, 32101, 47512, 76780, 142891])], dc_id=4, has_stickers=True, video_sizes=[]), ttl_seconds=None)"
2024-09-18 15:26:06+00:00,"〰️〰️〰️〰️〰️〰️〰️
Puma 
Made in Vietnam 
🔸🔸🔸🔸🔸🔸
Size 40,41,43
Price  3600
(Free Delivery)
Inbox @Hiwe5266
ስልክ +251945355266

    🔶 ፋሽን ተራ /Fashion Tera 🔶
          〰️〰️〰️〰️〰️〰️〰️〰️
አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ
ቢሮ ቁጥር 205
〰️〰️〰️〰️〰️","MessageMediaPhoto(spoiler=False, photo=Photo(id=6005578214115755004, access_hash=-2494405995038834970, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fzf\xf6\x80i\xec\xdeD\x87\xc0\x02\xdf\xbd\xa1$i\xef\x12x\xb7\xdd', date=datetime.datetime(2024, 9, 18, 15, 26, 5, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01$(\xbf\x0c!0\xdb\x99\x8e?\x88\xe6\x99qx\x96\xf2\x84q\xc1\x19\xcdE%\xf9\x86W\x8c\xc2H\x8c\x0c\xb2\xd5\x04\xdf\xa8\xde\xe5\x89U\xef\x8e\xc2\x804\xd2\xfe\x06\xea\xc5O\xa1\x15*\xdc\xc2zJ\xbf\x9dc]\x18Ro\xdc6F:\x0f\xf1\xa8\xc2\xcb \xe0\x10=\xa8\x03q\xa7\x8d\xc1\x08\xea\xc4z\x1a*\x8d\xb5\xbbC\x1e\xf7\x18'\xa0\xa2\xa5\x94\x86j\x91\x94\xb9\x12\xa1##\xa8\xf5\xaa\xff\x00h)\x06\xc4E\x8bw\xdea\xc6\xea\xbf\xa9\x06|*\xb1\x00\x0c\x90\x0e+3\xec\xb2\x1e@\xcf\xd6\xa8\x91\xb1\x9d\xce\x164.OAS%\xc3#:L\x08n\xdcc\x14\xc4g\x82@J\x8d\xc3\xd6\xac\xcd47\xb1\x0f7\x11L:68\xa0\t\xe6\xbc\x8bdk\x9c\xb1\x1d\x05\x15@d\x15\x85\x08*\x1b$\xff\x00x\xd1J\xc3\xb9\xac@k\xaej\t\x07\xefd\xcf8<f\x8a)\x14\x85DI\x08\x0e\xa0\xd2^Z\xc4\xa1\x19WnN\x08\x1d(\xa2\x84&Ce\x187\n\x0f\xf2\x14QE0?""), PhotoSize(type='m', w=320, h=284, size=21261), PhotoSize(type='x', w=800, h=711, size=87675), PhotoSizeProgressive(type='y', w=1019, h=906, sizes=[10210, 21139, 24953, 40121, 78581])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
2024-09-18 15:26:06+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=6005578214115755003, access_hash=-7830709221161183151, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fyf\xf6\x80i\xec\x85q\x1d\x9a~\xf5k0O\xde\xfa\x9b\xbf\x7fs', date=datetime.datetime(2024, 9, 18, 15, 26, 3, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(&\xb0\xc0\xbf\xcb\x8c\xe7\x8a\xa55\x88_\x963\x97\x03$z\xd6\x94`u\xefN\x00\x9f\xe3\x141\xa6\xd1\x85\xf6i\x87\xf0\x1a<\x99\x87f\xad\x89\x83\x8eP\xee\xc7\xf0\xf64\xab\x823\xc5+\x0f\x9d\x99\xf6\xb1\xc9\xb9\x8b\x07\xe9Ej\x0cQUa92>T\xee\x1f\x88\xf5\xa7\xed\xe7+H\xdc\n\x8ea!\x1elNq\x8f\xbbR\xc1\x13\xe3#\x9a\x8c\x90\xa7\x05\x86~\xb4\xdb{\x81*g\xbdM\xc3\n\x10\x86\x83E'C\xc1\xcd\x15B\x1a\xfc\xd0\x88\xfb\t\xdc=\x86(\xa2\x93)\x15#Q\xe7\xb9U(G\\\x1e\xa7\xd6\xa5e\x9c\xfd\xc7_\xae0h\xa2\x8b\t\xb2H\xc1D\x01\x9b'\xb9\xa2\x8a*\x84\x7f""), PhotoSize(type='m', w=303, h=320, size=20217), PhotoSize(type='x', w=757, h=800, size=89650), PhotoSizeProgressive(type='y', w=940, h=994, sizes=[9761, 20348, 26668, 43445, 79746])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
2024-09-18 15:26:05+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=6005578214115755002, access_hash=1870107201488034000, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fxf\xf6\x80i\xdb[fg{\xc9n\x88N\x94\xa2U\xf9P\x80\x92', date=datetime.datetime(2024, 9, 18, 15, 26, 2, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01('l\x8f\xa6\xb1\xc8l}\x01\xa4\xfbU\xacx1F\xc4\x8e\xe0b\xb3\x14e\x80\xa9V?2P\x01\x00\x13\x81L\r\x1by\xbe\xdb!O,\x84\x03'.Ni\xd7\x16\xaePH\xb1m\xc7P=),\xa2\xf2.6\xefC\xb9s\xc1\xf4\xab\xec\x0e\n\x93K`2d\xdb\xb1\x00\x03$d\xd1Ltx\xce\x1dJ\x9fz)\xa5`\xb9[\x1bB6j\xd4\x8d\x19D\xda\x9bd\xfe<t\xfc\xaa\xaa\xc8G\xdd\xc88\xedR\x03\xbd7g,\x0f9\xa0\x07G+$\xca\xe7\xaa\x9a\xdb\xb7\xb8\x86|\x80\xd9\xc7\xe9X\x822\xc3#\x18\xa7[\xe5Y\xb0\xc5\x08\xef\x9aL\x0b\xfa\x85\xc8\xda\xd1\xf9d\xf3\xf7\x8fJ+:I\x19\xf8,H\xa2\x9aAr\xc5\xce\x95,Y1|\xe9\xd7\x8e\xb5PF\xc0g\xa1\xee(\xa2\x90\x87.\xec\x12\x0e=y\xa9\x10\xa2.\x1cg=h\xa2\x93c\x1a\xbb~o\x90\xb1\xfe\x10:\x8a(\xa2\x8b\x81""), PhotoSize(type='m', w=311, h=320, size=25379), PhotoSize(type='x', w=778, h=800, size=97812), PhotoSizeProgressive(type='y', w=1242, h=1277, sizes=[17424, 36782, 44186, 67353, 122895])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
2024-09-08 16:08:15+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5976461436815263051, access_hash=-1440745039859194983, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fpf\xf6\x80iA\xba\xae4\x92\xc8\x8e\x82\x02\xc0\xbdH\x8d\xeb\xa2\xef', date=datetime.datetime(2024, 9, 8, 16, 8, 13, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01((\xb0\xdcQ\xbb\x14\x1e\x94\xd2r7\x11\xc0\xe34\x864\xdcB%\xd8\xcf\x83\xdcb\x9cJ\x1eS\xa5fM\x10[\x9c3\xfd\xf6\xe0\xe3\x90+E\x14*\x00:\x01L@\xe3\x8a)h\xa4\xae2@\xa5\xc3m]\xdbFv\xe7\x19\xa5V\x1eZ\xc9'\xc8\x08\xe1\x0foZ\x8d\xd8\xaf\xdd\x04\x9fbE*$\x13'\xcc\xe4\xb7\xf1s\xdf\xf1\xa0\n\xb31\xb9\x98lL\x9e\x80\xe3\x9a\x89%\x98K\xe4\xa1S\xb4\x12}\x05jG\xfb\xbe\x00\x1b}6\xff\x00Z\xaa\xf6\x99\xbd\xf3\x94)C\xc9\x1b\xbd\xbd\xa9\x88\\\x8c\xf1\xd3\xd6\x8a$\xc6\xfc(\x03\x8e\x80\xf4\xa2\x81\x930\xa8\xcc'%\x87_Z(\xa4\x04n\xb2\x0e\x84\x83\xea)\xaa\x92\xe4\x1f>o_\xbfE\x14\x01;\x96\x90\xe5\xbbQE\x14\xc0""), PhotoSize(type='m', w=320, h=320, size=40136), PhotoSizeProgressive(type='x', w=736, h=736, sizes=[6776, 20161, 36791, 68144, 132416])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
2024-09-08 16:08:15+00:00,"New year Discount 
🌼🌼🌼🌼🌼🌼🌼🌼🌼
〰️〰️〰️〰️〰️ 
🔸🔸🔸🔸🔸🔸
Inbox @Hiwe5266
ስልክ +251945355266

    🔶 ፋሽን ተራ /Fashion Tera 🔶
          〰️〰️〰️〰️〰️〰️〰️〰️
አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ
ቢሮ ቁጥር 205
〰️〰️〰️〰️〰️
🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼🌼","MessageMediaPhoto(spoiler=False, photo=Photo(id=5976461436815263049, access_hash=4244732679502273660, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fnf\xf6\x80i6\x80\x8bD\x1d\xbb\xa0\xce\xcc\xf6\x9c\xbb\x9f\xee\xf9i', date=datetime.datetime(2024, 9, 8, 16, 8, 6, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b""\x01(!\x96\xda$K\xd9$\x12\x02\xc7?'qV&\x9d0C(*G98\x06\x88V5w`\xbf3\xf0\xc6\xa5\xf2\xe31\x91\xb0\x11\xd3\x9aC1\xee\xbc\x89d\x0f\xe7*\xf0\x06\xd03\x8a\x89\xe2X\xf6\x95}\xd9\xef\x8a\x9e\xf6\xcb\xc9\x93t1\xfe\xec\x8e{\xe0\xd4R+\x1c\x1e\xb8\xf4\x1d\xa8\x10\xca)(\xaa\x02\xe3J\xd1_\xa8\xfe\x17\x1c\x8a\xd3\x8c\xe4\x02\x0f\xff\x00^\xb3$@\xd7p\x92z\x03V\xa0}\x87g\xe4jn;h[l\xe0\x9e\xb8\xedY\x97/fU\x88\x8c\xef#\x8c\x029\xadE!\xbb\xfe\x15\x91\xa9B\xf1K\xb8g\xcbo\xe7LEL\x8a)\xb4S\x11\xa0\xf1yr\x80x#\xad\x12\xce\xa8\x00\xce\x18\xf7\xa2\x8a\xcbvi\xb2\x16\xda\xf8\x96\xd8\xe3 s\xbb4\x97\x97\xb1\xcd\x0e\xc5\xcbQEY\x173\xf2=E\x14QLG""), PhotoSize(type='m', w=262, h=320, size=23547), PhotoSize(type='x', w=654, h=800, size=92797), PhotoSizeProgressive(type='y', w=944, h=1154, sizes=[13201, 28362, 36483, 55581, 100893])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
2024-09-08 16:08:06+00:00,,"MessageMediaPhoto(spoiler=False, photo=Photo(id=5976461436815263048, access_hash=-16467620852855105, file_reference=b'\x02F\x11 \xe0\x00\x00\x0fmf\xf6\x80i\x00\x93\xa2?{R\xcb\x0c\xdd\xdc;\xfek0\x80\x0f', date=datetime.datetime(2024, 9, 8, 16, 8, 5, tzinfo=datetime.timezone.utc), sizes=[PhotoStrippedSize(type='i', bytes=b'\x01(\x1c\x86(\x1a\xd4y\xb2(V\x1d\x14\xf5\xa7\x7f\xa3\xde)\xf9\xfc\xbc\xb7\n\xdd\x8f\xb7\xadF\xd3\xbc\xb8\x91\xdbs\x102j\t\x18\xb7\xa0\xfc1L\x0b&\xd4\xc2\x1bq\xdc\xb8\xeb\x8a\x8b\xa7\xdd9\x1fJ\xd4\x9a\x18\xe5\x81dpN\xe5\x05G\xa7\x15\x95I0bG\x11\xfb6\xe2\x7f\x8f\x00S\t\xc8\x15z\xc4,\xf6\xcc\x8f\xd79\x15Vh\xd9\x1f\x05N{\x8a\x13\x1bF\x86\x9d0\x9a\xdf\xec\xec\xdf\xbc^G\xb8\xa5}-\xcb\x92\x8e\xa1OoJ\xa6\x92\xaa:M\x17\x0c\x9dW\xda\xad\xc9\xa9\x92\xc0\xac\\\x11\xdc\xd1a\r\x81\x04\nH\xeeI\xa8\xe6\x7f<\xb6G\xcc\xbc\x81\x9cdQEOR\xe5\xa2*\x14\xdcH\xcf>\xfcS\x06\xecp\xb9\x14QTA'), PhotoSize(type='m', w=226, h=320, size=21014), PhotoSize(type='x', w=566, h=800, size=80772), PhotoSizeProgressive(type='y', w=719, h=1016, sizes=[9586, 21501, 26187, 40951, 73416])], dc_id=4, has_stickers=False, video_sizes=[]), ttl_seconds=None)"
